speed,steering_angle,position,rotation,rotation_speed
-0.9090037500000003,0.0,"Vec3(-1.3, 0.38042, -0.768016)","Vec3(0, 0, 0)",0
-0.9241412500000001,0.0,"Vec3(-1.3, 0.38042, -0.773611)","Vec3(0, 0, 0)",0
-0.9393435,0.0,"Vec3(-1.3, 0.38042, -0.779323)","Vec3(0, 0, 0)",0
-0.9546457500000005,0.0,"Vec3(-1.3, 0.38042, -0.785167)","Vec3(0, 0, 0)",0
-0.9697652499999998,0.0,"Vec3(-1.3, 0.38042, -0.791031)","Vec3(0, 0, 0)",0
-0.9848475000000001,0.0,"Vec3(-1.3, 0.38042, -0.796973)","Vec3(0, 0, 0)",0
-0.9998839999999998,0.0,"Vec3(-1.3, 0.38042, -0.802987)","Vec3(0, 0, 0)",0
-1.0151002500000006,0.0,"Vec3(-1.3, 0.38042, -0.809165)","Vec3(0, 0, 0)",0
-1.0303687500000003,0.0,"Vec3(-1.3, 0.38042, -0.815458)","Vec3(0, 0, 0)",0
-1.0457307500000002,0.0,"Vec3(-1.3, 0.38042, -0.821884)","Vec3(0, 0, 0)",0
-1.0608845,0.0,"Vec3(-1.3, 0.38042, -0.828314)","Vec3(0, 0, 0)",0
-1.0759372499999997,0.0,"Vec3(-1.3, 0.38042, -0.834793)","Vec3(0, 0, 0)",0
-1.0911044999999997,0.0,"Vec3(-1.3, 0.38042, -0.841412)","Vec3(0, 0, 0)",0
-1.1061279999999996,0.0,"Vec3(-1.3, 0.38042, -0.84806)","Vec3(0, 0, 0)",0
-1.1213652500000004,0.0,"Vec3(-1.3, 0.38042, -0.854894)","Vec3(0, 0, 0)",0
-1.1367800000000006,0.0,"Vec3(-1.3, 0.38042, -0.861903)","Vec3(0, 0, 0)",0
-1.15157375,0.0,"Vec3(-1.3, 0.38042, -0.868718)","Vec3(0, 0, 0)",0
-1.1669047499999996,0.0,"Vec3(-1.3, 0.38042, -0.875874)","Vec3(0, 0, 0)",0
-1.1820632500000006,0.0,"Vec3(-1.3, 0.38042, -0.883041)","Vec3(0, 0, 0)",0
-1.19865275,0.0,"Vec3(-1.3, 0.38042, -0.890995)","Vec3(0, 0, 0)",0
-1.21191375,0.0,"Vec3(-1.3, 0.38042, -0.897424)","Vec3(0, 0, 0)",0
-1.227317,0.0,"Vec3(-1.3, 0.38042, -0.904986)","Vec3(0, 0, 0)",0
-1.2365673500000003,0.0,"Vec3(-1.3, 0.38042, -0.912611)","Vec3(0, 0, 0)",-0.04933520000000158
-1.24568735,0.0,"Vec3(-1.3, 0.38042, -0.920185)","Vec3(0, -0.0149979, 0)",-0.09922825491466712
-1.2544029500000002,0.0,"Vec3(-1.29999, 0.38042, -0.927474)","Vec3(0, -0.0438257, 0)",-0.14691777854440796
-1.2635111,0.0,"Vec3(-1.29998, 0.38042, -0.935146)","Vec3(0, -0.0884307, 0)",-0.1967640552365231
-1.2727350500000003,0.0,"Vec3(-1.29996, 0.38042, -0.942972)","Vec3(0, -0.148929, 0)",-0.24725340670439588
